Car Make,Car Model,Location,Steering wheel,Fuel,Condition,Transmission,Drive,Type,Paint-color,Cylinders,Mileage (km),Year,Used Car Price(KIP)
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,VERY GOOD,automatic,4x4,SUV's,white,4,32000,2020,1069500000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,GOOD,automatic,4x4,SUV's,white,4,74000,2017,782000000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,Crash,automatic,4x4,SUV's,white,4,53000,2016,816500000
TOYOTA ,REVO_4x4,VTE,LEFT,diesel,Crash,automatic,4x4,SUV's,Black,4,75000,2015,839500000
TOYOTA ,REVO_SMART_CAB ,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,silver,4,75000,2015,501400000
TOYOTA ,REVO_SMART_CAB ,VTE,LEFT,diesel,Crash,Manual,4x4,SUV's,Black,4,75000,2017,570400000
TOYOTA ,REVO_SMART_CAB ,VTE,LEFT,diesel,Crash,automatic,4x4,SUV's,Gray,4,67000,2017,570400000
TOYOTA ,RUSH ,VTE,LEFT,benzine,Crash,automatic,rwd,SUV,Black,4,29000,2019,586500000
TOYOTA ,SIENNA ,VTE,LEFT,benzine,Crash,automatic,rwd,hatchback,Black,4,90000,2014,437000000
TOYOTA ,SIENNA ,VTE,LEFT,benzine,GOOD,automatic,rwd,hatchback,gold silver,4,52000,2010,529000000
TOYOTA ,TUNDRA ,VTE,LEFT,benzine,GOOD,automatic,4x4,SUV's,Sugar,8,65000,2010,1354700000
TOYOTA ,TUNDRA ,VTE,LEFT,benzine,GOOD,automatic,4x4,SUV's,silver,8,66000,2010,770500000
TOYOTA ,TUNDRA ,VTE,LEFT,benzine,Crash,automatic,4x4,SUV's,Sugar,8,66000,2015,1058000000
TOYOTA ,VIGO,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,Red,4,120000,2008,356500000
TOYOTA ,VIGO,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,silver,4,76000,2008,351900000
TOYOTA ,VIGO_4x4,CPS,LEFT,diesel,GOOD,Manual,4x4,SUV's,silver,4,150000,2010,455400000
TOYOTA ,VIGO_prerunner,CPS,LEFT,diesel,Crash,Manual,2x4,SUV's,silver,4,100000,2013,570400000
TOYOTA ,VIGO_CHAMP ,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,white,4,110000,2013,402500000
TOYOTA ,VIGO_CHAMP ,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,silver,4,61000,2013,501400000
TOYOTA ,VIGO_CHAMP ,VTE,LEFT,diesel,GOOD,Manual,2x4,SUV's,white,4,100000,2014,434700000
TOYOTA ,VIGO_CHAMP_prerunner,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,white,4,65000,2014,563500000
TOYOTA ,VIGO_CHAMP_prerunner,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,white,4,100000,2013,570400000
TOYOTA ,VIGO_CHAMP_prerunner,VTE,LEFT,diesel,Crash,Manual,2x4,SUV's,white,4,87000,2015,609500000
